   x	            y
1.000317239	-0.002443417
0.980976668	0.004969221
0.96156744	0.012156491
0.942091781	0.019121167
0.922551787	0.025865687
0.902949435	0.032392142
0.883286596	0.038702276
0.863565042	0.044797478
0.843786464	0.050678771
0.823952478	0.05634681
0.804064644	0.061801874
0.78412447	0.067043856
0.764133432	0.072072256
0.744092983	0.076886175
0.724004571	0.0814843
0.703869645	0.085864899
0.683689676	0.090025809
0.66346617	0.09396442
0.643200681	0.097677665
0.622894826	0.101162004
0.602550306	0.104413405
0.582168915	0.107427324
0.561752567	0.110198684
0.541303303	0.112721847
0.520823322	0.114990582
0.500314992	0.116998029
0.479780878	0.118736658
0.459223767	0.120198214
0.438646688	0.121373656
0.41805295	0.122253084
0.397446167	0.122825643
0.376830304	0.123079414
0.356209715	0.123001269
0.335589196	0.122576696
0.314974049	0.121789572
0.294370159	0.120621868
0.273784085	0.119053271
0.253223186	0.11706067
0.232695779	0.114617467
0.212211351	0.111692611
0.191780857	0.108249235
0.171417145	0.10424265
0.151135581	0.099617292
0.130955029	0.09430188
0.110899461	0.088201301
0.091000793	0.081182023
0.071304379	0.073043361
0.051881111	0.063453042
0.032859928	0.051770932
0.014552984	0.036356871
0.000000000     0.000000000
0.025447016	-0.029609991	
0.047140072	-0.038559412	
0.068118889	-0.044059122	
0.088695621	-0.047749281	
0.108999207	-0.050270023	
0.129100539	-0.051953621	
0.149044971	-0.05300076	
0.168864419	-0.053544972	
0.188582855	-0.05368137	
0.208219143	-0.053481235	
0.227788649	-0.053000131	
0.247304221	-0.052282747	
0.266776814	-0.05136595	
0.286215915	-0.050280791	
0.305629841	-0.049053868	
0.325025951	-0.047708292	
0.344410804	-0.046264376    
0.363790285	-0.044740149	
0.383169696	-0.043151734	
0.402553833	-0.041513643	
0.42194705	-0.039839004	
0.441353312	-0.038139736	
0.460776233	-0.036426694	
0.480219122	-0.034709778	
0.499685008	-0.032998029	
0.519176678	-0.031299702	
0.538696697	-0.029622327	
0.558247433	-0.027972764	
0.577831085	-0.026357244	
0.597449694	-0.024781405	
0.617105174	-0.023250324	
0.636799319	-0.021768545	
0.65653383	-0.0203401	
0.676310324	-0.018968529	
0.696130355	-0.017656899	
0.715995429	-0.01640782	
0.735907017	-0.015223455	
0.755866568	-0.014105536	
0.77587553	-0.013055376	
0.795935356	-0.012073874	
0.816047522	-0.01116153	
0.836213536	-0.010318451	
0.856434958	-0.009544358	
0.876713404	-0.008838596	
0.897050565	-0.008200142	
0.917448213	-0.007627607	
0.937908219	-0.007119247	
0.95843256	-0.006672971	
0.979023332	-0.006286341	
0.999682761	-0.005956583
